model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
Twister PC4000 (TSOP) (3.0-4-4-8-1T),DIMM,Unbuffered,non-ECC,,,,,PC4000,,,"hynix, PSC/Powerchip, Samsung",,"hynix D5, hynix D43, Samsung TCCC, PSC/Powerchip",N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Twister PC4200 (3.0-4-4-8-1T),DIMM,Unbuffered,non-ECC,,,,,PC4200,3.0-4-4-8-1T,,hynix,,hynix  D5,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
TwisterPro PC3200 (2.0-2-2-5-1T),DIMM,Unbuffered,non-ECC,,,,,PC3200,2.0-2-2-5-1T,,Samsung,,Samsung TCCD,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
TwisterPro PC3700 (2.5-3-3-7-1T),DIMM,Unbuffered,non-ECC,,,,,,2.5-3-3-7-1T,,Samsung,,Samsung TCCD,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Speed Premium PC3200 (2.5-3-3-8-1T),DIMM,Unbuffered,non-ECC,,,,,PC3200,2.5-3-3-8-1T,,"Powerchip, Winbond",,"Winbond UTT (after 46 04), Powerchip (before 46 04)",N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Speed Premium PC3500 (1A4T),DIMM,Unbuffered,non-ECC,,,,,PC3500,,,Winbond,,Winbond UTT,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Speed Premium PC3500 (AA4T),DIMM,Unbuffered,non-ECC,,,,,PC3500,,,Winbond,,Winbond UTT,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Speed Premium PC3500 (AADT),DIMM,Unbuffered,non-ECC,,,,,PC3500,,,Powerchip,,Powerchip  0.13µ,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Speed Premium PC3500 (CADT),DIMM,Unbuffered,non-ECC,,,,,PC3500,,,Powerchip,,Powerchip  0.11µ,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Speed Premium PC3500 (ACMT),DIMM,Unbuffered,non-ECC,,,,,PC3500,,,hynix,,hynix D43,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
