model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
M378A1K43CB2-CPB,DIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A1K43CB2-CRC,DIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A1K43CB2-CTD,DIMM,N/A,non-ECC,8 GiByte,"1Rx8, 8 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A2K43CB1-CPB,DIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A2K43CB1-CRC,DIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A2K43CB1-CTD,DIMM,N/A,non-ECC,16 GiByte,"2Rx8, 16 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A5244CB0-CPB,DIMM,N/A,non-ECC,4 GiByte,"1Rx16, 16 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A5244CB0-CRC,DIMM,N/A,non-ECC,4 GiByte,"1Rx16, 16 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M378A5244CB0-CTD,DIMM,N/A,non-ECC,4 GiByte,"1Rx16, 16 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),N/A,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A1K43BB2-CTD,DIMM,N/A,ECC,8 GiByte,"1Rx8, 9 ICs, Single-die package",8 Gbit,1.2 V,2666 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A2K43BB1-CPB,DIMM,N/A,ECC,16 GiByte,"2Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M391A2K43BB1-CRC,DIMM,N/A,ECC,16 GiByte,"2Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
